date,finished,treatment,criterion,instruct_duration,task_duration,task_per_min,task_total,mistake_total,recorded_mistake_total,gender,race,race_other,age,income,edu,econ,mouse,achieve_attempt,speed_goal,accuracy_goal,reason_noattempt,reason_noattempt_other,explain_help,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,rand_5,rand_7.5,rand_10,rand_12.5,rand_15,rand_17.5,rand_20
2025-02-24T23:57:39Z,true,1,strict,NA,304,5.131578947368421,26,1,1,non-binary,NA,NA,26,NA,NA,no,NA,NA,below 8,below 10%,other,focused on the mistake rate more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-25T05:08:19Z,true,4,lenient,31.748,305,7.081967213114754,36,9,2.25,non-binary,NA,NA,24,NA,college/ university degree and equivalent or above,no,NA,NA,8,above 10% to below 25%,too difficult to achieve target(s),too difficult to achieve target(s),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-26T19:22:05Z,true,3,strict,4.532,313,5.175718849840256,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-26T20:36:09Z,true,2,lenient,402.659,310,5.225806451612903,27,1,0.25,non-binary,NA,NA,23,"75,000 - 119,999",college/ university degree and equivalent or above,yes,NA,NA,above 10,below 10%,too difficult to understand/ recall target(s),too difficult to understand/ recall target(s),yes,5,7.5,10,12.5,15,17.5,20,4,6,10,13,20,20,30
2025-02-27T02:30:56Z,true,4,lenient,51.722,301,3.9867109634551494,20,1,0.25,male,NA,NA,22,"200,000 and over",college/ university degree and equivalent or above,yes,NA,NA,9,below 10%,NA,5,NA,100,100,100,100,100,100,100,30,150,150,160,100,170,160
2025-03-08T03:06:18Z,true,1,strict,9.159,307,5.863192182410423,30,0,0,male,white,white,23,"0 - 24,999",college/ university degree and equivalent or above,no,no,NA,below 8,10%,NA,NA,NA,50,100,110,125,135,150,200,10,10,10,10,10,10,10
2025-03-08T20:30:06Z,true,1,strict,22.996,309,3.1067961165048543,16,2,2,male,asian,asian,28,"200,000 and over",college/ university degree and equivalent or above,no,no,NA,below 8,below 10%,NA,NA,NA,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA
2025-03-08T20:31:03Z,true,2,lenient,93.544,314,3.248407643312102,17,3,0.75,female,white,white,24,prefer not to say,college/ university degree and equivalent or above,no,no,yes for both targets.,9,below 10%,NA,NA,no,0,0,0,0,30,25,25,0,0,0,0,0,20,20
2025-03-08T21:06:19Z,true,3,strict,19.591,310,3.870967741935484,20,1,1,female,asian,asian,22,prefer not to say,college/ university degree and equivalent or above,no,no,yes for both targets.,below 8,below 10%,NA,NA,no,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,4
2025-03-08T21:15:51Z,true,1,strict,58.013,310,5.032258064516129,26,1,1,male,asian,asian,29,prefer not to say,college/ university degree and equivalent or above,no,yes,NA,above 10,below 10%,NA,NA,NA,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000
