RecordedDate,Finished,treatment,criterion,task_duration,task_per_min,task_total,mistake_total,Q2.1_Page Submit,Q3.1_Page Submit,Q4.1_Page Submit,Q5.1_Page Submit,Q10.1,Q10.2,Q10.2_7_TEXT,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8,Q10.9,Q10.10,Q10.11,Q10.11_4_TEXT,Q10.12,Q11.1_1,Q11.1_3,Q11.1_4,Q11.1_5,Q11.1_6,Q11.1_2,Q11.1_7,Q12.1_1,Q12.1_3,Q12.1_4,Q12.1_5,Q12.1_6,Q12.1_2,Q12.1_9
Recorded Date,Finished,treatment,criterion,task_duration,task_per_min,task_total,mistake_total,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Gender,Race - Selected Choice,Race - Other - Text,Year of birth,Annual household income (in USD),Educational level,Did you study economics at the undergraduate level or higher?,Did you use a mouse to complete the task?,Did you try to achieve the targets for the task?,"During the task, how many sets per minute did you aim to complete?","During the task, how many mistakes per tasks completed did you aim to limit yourself to?","If you did not try to achieve one or both of the set targets, why? - Selected Choice","If you did not try to achieve one or both of the set targets, why? - Other - Text","Did the explanation of how to achieve both targets, including the table, make it easier and/or make you more motivated to achieve both targets?","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 5 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 7.5 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 10 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 12.5 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 15 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 17.5 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you would be willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 20 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 2 cents,                 50% chance of 8 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 4 cents,                 50% chance of 11 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 5 cents,                 50% chance of 15 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 6 cents,                 50% chance of 19 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 8 cents,                 50% chance of 22 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 9 cents,                 50% chance of 26 cents","The table below indicates different payments per correctly completed set of the slider task you just did. For each payment level, please indicate the number of tasks (between 0 and 1000) you are willing to complete. There are no expectations for how many you should complete or how accurate you should be. - 50% chance of 10 cents,               50% chance of 30 cents"
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""treatment""}","{""ImportId"":""criterion""}","{""ImportId"":""task_duration""}","{""ImportId"":""task_per_min""}","{""ImportId"":""task_total""}","{""ImportId"":""mistake_total""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID296""}","{""ImportId"":""QID296_7_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID280""}","{""ImportId"":""QID299""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_4_TEXT""}","{""ImportId"":""QID272""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID274_3""}","{""ImportId"":""QID274_4""}","{""ImportId"":""QID274_5""}","{""ImportId"":""QID274_6""}","{""ImportId"":""QID274_2""}","{""ImportId"":""QID274_7""}","{""ImportId"":""QID276_1""}","{""ImportId"":""QID276_3""}","{""ImportId"":""QID276_4""}","{""ImportId"":""QID276_5""}","{""ImportId"":""QID276_6""}","{""ImportId"":""QID276_2""}","{""ImportId"":""QID276_9""}"
2025-02-24 17:57:39,True,1,,304,5.1315789473684210526,26,1,,,,,Non-binary,,,26,,4,No,,,Below 8,Below 10%,Other,focused on the mistake rate more,,,,,,,,,,,,,,,
2025-02-24 23:08:19,True,4,,305,7.0819672131147540984,36,9,,,,31.748,Non-binary,,,24,,College/ university degree and equivalent or above,No,,,8,Above 10% to below 25%,Too difficult to achieve target(s),,,,,,,,,,,,,,,,
2025-02-26 13:22:05,True,3,,313,5.1757188498402555912,27,0,,,4.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-26 14:36:09,True,2,,310,5.225806451612903226,27,1,,402.659,,,Non-binary,,,23,"75,000 - 119,999",College/ university degree and equivalent or above,Yes,,,Above 10,Below 10%,Too difficult to understand/ recall target(s),,Yes,5,7.5,10,12.5,15,17.5,20,4,6,10,13,20,20,30
2025-02-26 20:30:56,True,4,,301,3.9867109634551495014,20,1,,,,51.722,Male,,,22,"200,000 and over",College/ university degree and equivalent or above,Yes,,,9,Below 10%,5,,,100,100,100,100,100,100,100,30,150,150,160,100,170,160
2025-03-07 21:06:18,True,1,strict,307,5.8631921824104234528,30,0,9.159,,,,Male,White,,2002,"0 - 24,999",College/ university degree and equivalent or above,No,No,,Below 8,10%,,,,50,100,110,125,135,150,200,10,10,10,10,10,10,10
2025-03-08 14:30:06,True,1,strict,309,3.106796116504854369,16,2,22.996,,,,Male,Asian,,1997,"200,000 and over",College/ university degree and equivalent or above,No,No,,Below 8,Below 10%,,,,5,5,5,5,5,5,5,5 cents,7.5 cents,"10 cents ",12.5 cents,15 cents,17.5 cents,20 cents
2025-03-08 14:31:03,True,2,lenient,314,3.248407643312101911,17,3,,93.544,,,Female,White,,2001,Prefer not to say,College/ university degree and equivalent or above,No,No,Yes for both targets.,9,Below 10%,,,No,0,0,0,0,30,25,25,0,0,0,0,0,20,20
2025-03-08 15:06:19,True,3,strict,310,3.8709677419354838712,20,1,,,19.591,,Female,Asian,,2003,Prefer not to say,College/ university degree and equivalent or above,No,No,Yes for both targets.,Below 8,Below 10%,,,No,0,0,0,0,0,1,0,0,,0,0,,,4
2025-03-08 15:15:51,True,1,strict,310,5.0322580645161290322,26,1,58.013,,,,Male,Asian,,1996,Prefer not to say,College/ university degree and equivalent or above,No,Yes,,Above 10,Below 10%,,,,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000
2025-03-08 15:56:25,True,1,strict,310,6,31,0,39.378,,,,Male,White,,2001,"120,000 - 199,999",College/ university degree and equivalent or above,Yes,Yes,,,,,,,0,0,0,0,0,1000,1000,0,0,0,0,0,1000,1000
2025-03-08 16:13:21,True,1,strict,304,5.3289473684210526318,27,3,12.405,,,,Male,Asian,,2002,"0 - 24,999",College/ university degree and equivalent or above,Yes,Yes,,Below 8,Below 10%,,,,300,325,350,375,400,450,500,280,300,320,340,350,460,480
2025-03-08 16:17:08,True,2,lenient,304,4.7368421052631578948,24,2,,20.941,,,Female,Asian,,2001,"200,000 and over",College/ university degree and equivalent or above,No,No,Yes but only for accuracy target,8,Below 10%,Too difficult to achieve target(s),,Yes,25,38,50,63,75,88,100,40,50,60,70,80,90,100
2025-03-08 17:51:48,True,4,strict,303,4.7524752475247524752,24,1,,,,79.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-08 18:33:35,True,2,lenient,308,3.8961038961038961036,20,0,,77.676,,,Female,White,,2003,"50,000 - 74,999",College/ university degree and equivalent or above,No,No,Yes but only for accuracy target,9,Below 10%,Too difficult to achieve target(s),,Yes,100,200,300,500,800,750,900,50,100,500,550,575,600,300
2025-03-08 18:49:03,True,4,lenient,303,6.1386138613861386138,31,0,,,,102.163,Non-binary,Other,mixed,2001,"50,000 - 74,999",College/ university degree and equivalent or above,No,Yes,Yes but only for accuracy target,9,Below 10%,Did not care about target(s),,,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2025-03-08 20:13:15,True,1,strict,304,4.9342105263157894734,25,0,47.18,,,,Female,White,,1999,"0 - 24,999",,Yes,Yes,,Below 8,Below 10%,,,,250,300,400,450,600,700,700,150,200,250,400,450,500,600
2025-03-09 17:11:24,True,4,lenient,315,3.8095238095238095236,20,1,,,,82.507,Female,Asian,,2002,Prefer not to say,College/ university degree and equivalent or above,No,No,Yes but only for accuracy target,9,Below 10%,Other,it is more certain to get the accuracy right each time (for each slider),,2,3,4,5,5,6,7,3,6,4,7,5,5,15
2025-03-09 20:03:09,True,4,lenient,301,6.1794019933554817278,31,0,,,,14.508,Male,White,,2001,"200,000 and over",College/ university degree and equivalent or above,Yes,Yes,Yes but only for accuracy target,9,Below 10%,Too difficult to achieve target(s),,,0,0,100,200,320,360,400,0,0,0,0,100,200,360
2025-03-09 21:26:23,True,1,strict,300,5.8000000000000000002,29,2,46.517,,,,Female,Asian,,2001,Prefer not to say,College/ university degree and equivalent or above,No,Yes,,8,Below 10%,,,,15,50,80,250,100,280,300,25,50,100,200,240,280,300
2025-03-10 03:32:47,True,3,lenient,305,3.9344262295081967214,20,1,,,57.257,,Female,Asian,,2003,"200,000 and over",College/ university degree and equivalent or above,No,No,Yes but only for accuracy target,Below 8,Below 10%,"Too difficult to achieve target(s),Did not care about target(s)",,No,,,,,,,,,,,,,,
2025-03-10 21:43:43,True,2,strict,315,3.4285714285714285716,18,0,,286.924,,,Female,Asian,,2003,"50,000 - 74,999",College/ university degree and equivalent or above,Yes,No,Yes but only for accuracy target,Below 8,Below 10%,Too difficult to achieve target(s),,No,5,7,10,12.5,15,18,20,3,10,5,10,8,20,30
2025-03-11 09:06:23,True,1,strict,309,6.213592233009708738,32,2,24.411,,,,Male,Asian,,2001,"50,000 - 74,999",College/ university degree and equivalent or above,Yes,No,,Below 8,Below 10%,,,,0,0,0,1000,1000,1000,1000,0,0,0,1000,1000,1000,1000
